#L TT EE BB TE PP TP EP WW WP WT WE FF FP FW FT FE
3.400000e+01 1.124600e+03 3.279800e-02 0.000000e+00 1.953800e+00 1.407600e-07 1.116800e-03 -6.828600e-07 3.209301e-12 3.209301e-12 3.209301e-12 3.209301e-12 3.804657e-10 3.804657e-10 3.804657e-10 3.804657e-10 3.804657e-10
3.500000e+01 1.141800e+03 3.624200e-02 0.000000e+00 1.948400e+00 1.407400e-07 1.090100e-03 -8.030700e-07 3.318399e-12 3.318399e-12 3.318399e-12 3.318399e-12 4.229890e-10 4.229890e-10 4.229890e-10 4.229890e-10 4.229890e-10
3.600000e+01 1.159200e+03 3.992200e-02 0.000000e+00 1.936200e+00 1.406600e-07 1.064600e-03 -9.587800e-07 3.426399e-12 3.426399e-12 3.426399e-12 3.426399e-12 4.687313e-10 4.687313e-10 4.687313e-10 4.687313e-10 4.687313e-10
3.700000e+01 1.176700e+03 4.383800e-02 0.000000e+00 1.914200e+00 1.405400e-07 1.040100e-03 -1.107900e-06 3.533271e-12 3.533271e-12 3.533271e-12 3.533271e-12 5.178189e-10 5.178189e-10 5.178189e-10 5.178189e-10 5.178189e-10
3.800000e+01 1.194400e+03 4.799500e-02 0.000000e+00 1.881600e+00 1.403700e-07 1.016400e-03 -1.212200e-06 3.638995e-12 3.638995e-12 3.638995e-12 3.638995e-12 5.703776e-10 5.703776e-10 5.703776e-10 5.703776e-10 5.703776e-10
3.900000e+01 1.212400e+03 5.239300e-02 0.000000e+00 1.838300e+00 1.401600e-07 9.936000e-04 -1.264600e-06 3.743548e-12 3.743548e-12 3.743548e-12 3.743548e-12 6.265325e-10 6.265325e-10 6.265325e-10 6.265325e-10 6.265325e-10
4.000000e+01 1.230500e+03 5.703400e-02 0.000000e+00 1.783900e+00 1.399200e-07 9.715100e-04 -1.266100e-06 3.846911e-12 3.846911e-12 3.846911e-12 3.846911e-12 6.864077e-10 6.864077e-10 6.864077e-10 6.864077e-10 6.864077e-10
4.100000e+01 1.248900e+03 6.192800e-02 0.000000e+00 1.718000e+00 1.396400e-07 9.501300e-04 -1.221200e-06 3.949063e-12 3.949063e-12 3.949063e-12 3.949063e-12 7.501268e-10 7.501268e-10 7.501268e-10 7.501268e-10 7.501268e-10
4.200000e+01 1.267400e+03 6.709000e-02 0.000000e+00 1.640000e+00 1.393200e-07 9.294500e-04 -1.148900e-06 4.049982e-12 4.049982e-12 4.049982e-12 4.049982e-12 8.178120e-10 8.178120e-10 8.178120e-10 8.178120e-10 8.178120e-10
4.300000e+01 1.286100e+03 7.253200e-02 0.000000e+00 1.549200e+00 1.389800e-07 9.094700e-04 -1.071600e-06 4.149648e-12 4.149648e-12 4.149648e-12 4.149648e-12 8.895845e-10 8.895845e-10 8.895845e-10 8.895845e-10 8.895845e-10
4.400000e+01 1.304700e+03 7.825400e-02 0.000000e+00 1.446000e+00 1.386000e-07 8.901900e-04 -1.011700e-06 4.248041e-12 4.248041e-12 4.248041e-12 4.248041e-12 9.655641e-10 9.655641e-10 9.655641e-10 9.655641e-10 9.655641e-10
4.500000e+01 1.323800e+03 8.426600e-02 0.000000e+00 1.330700e+00 1.382000e-07 8.716200e-04 -9.915000e-07 4.345139e-12 4.345139e-12 4.345139e-12 4.345139e-12 1.045870e-09 1.045870e-09 1.045870e-09 1.045870e-09 1.045870e-09
4.600000e+01 1.343000e+03 9.057600e-02 0.000000e+00 1.201800e+00 1.377700e-07 8.537400e-04 -1.025800e-06 4.440925e-12 4.440925e-12 4.440925e-12 4.440925e-12 1.130618e-09 1.130618e-09 1.130618e-09 1.130618e-09 1.130618e-09
4.700000e+01 1.362400e+03 9.717800e-02 0.000000e+00 1.060000e+00 1.373200e-07 8.365100e-04 -1.099100e-06 4.535397e-12 4.535397e-12 4.535397e-12 4.535397e-12 1.219925e-09 1.219925e-09 1.219925e-09 1.219925e-09 1.219925e-09
4.800000e+01 1.381800e+03 1.040700e-01 0.000000e+00 9.094400e-01 1.368500e-07 8.198800e-04 -1.188500e-06 4.628557e-12 4.628557e-12 4.628557e-12 4.628557e-12 1.313904e-09 1.313904e-09 1.313904e-09 1.313904e-09 1.313904e-09
4.900000e+01 1.401300e+03 1.112200e-01 0.000000e+00 7.535000e-01 1.363600e-07 8.037700e-04 -1.270900e-06 4.720406e-12 4.720406e-12 4.720406e-12 4.720406e-12 1.412668e-09 1.412668e-09 1.412668e-09 1.412668e-09 1.412668e-09
5.000000e+01 1.421300e+03 1.186000e-01 0.000000e+00 5.888500e-01 1.358500e-07 7.881400e-04 -1.323700e-06 4.810945e-12 4.810945e-12 4.810945e-12 4.810945e-12 1.516327e-09 1.516327e-09 1.516327e-09 1.516327e-09 1.516327e-09
5.100000e+01 1.441400e+03 1.261800e-01 0.000000e+00 4.107400e-01 1.353200e-07 7.729400e-04 -1.330500e-06 4.900176e-12 4.900176e-12 4.900176e-12 4.900176e-12 1.624989e-09 1.624989e-09 1.624989e-09 1.624989e-09 1.624989e-09
5.200000e+01 1.462000e+03 1.340300e-01 0.000000e+00 2.144500e-01 1.347800e-07 7.581700e-04 -1.302100e-06 4.988100e-12 4.988100e-12 4.988100e-12 4.988100e-12 1.738762e-09 1.738762e-09 1.738762e-09 1.738762e-09 1.738762e-09
5.300000e+01 1.482500e+03 1.423200e-01 0.000000e+00 -2.905100e-03 1.342200e-07 7.438300e-04 -1.255700e-06 5.074719e-12 5.074719e-12 5.074719e-12 5.074719e-12 1.857751e-09 1.857751e-09 1.857751e-09 1.857751e-09 1.857751e-09
5.400000e+01 1.503000e+03 1.510400e-01 0.000000e+00 -2.362400e-01 1.336500e-07 7.299400e-04 -1.208500e-06 5.160033e-12 5.160033e-12 5.160033e-12 5.160033e-12 1.982056e-09 1.982056e-09 1.982056e-09 1.982056e-09 1.982056e-09
5.500000e+01 1.523600e+03 1.601800e-01 0.000000e+00 -4.803500e-01 1.330600e-07 7.165100e-04 -1.177600e-06 5.244046e-12 5.244046e-12 5.244046e-12 5.244046e-12 2.111781e-09 2.111781e-09 2.111781e-09 2.111781e-09 2.111781e-09
5.600000e+01 1.544600e+03 1.695900e-01 0.000000e+00 -7.363000e-01 1.324600e-07 7.035400e-04 -1.175800e-06 5.326758e-12 5.326758e-12 5.326758e-12 5.326758e-12 2.247021e-09 2.247021e-09 2.247021e-09 2.247021e-09 2.247021e-09
