#L TT EE BB TE PP TP EP WW WP WT WE FF FP FW FT FE
7.700000e+01 2.034300e+03 4.237800e-01 0.000000e+00 -9.044700e+00 1.185100e-07 5.006700e-04 -1.459800e-06 3.616739e-10 3.616739e-10 3.616739e-10 3.616739e-10 2.034300e-08 2.034300e-08 2.034300e-08 2.034300e-08 2.034300e-08
7.800000e+01 2.060200e+03 4.383100e-01 0.000000e+00 -9.573400e+00 1.178300e-07 4.935400e-04 -1.462700e-06 3.642995e-10 3.642995e-10 3.642995e-10 3.642995e-10 2.060200e-08 2.060200e-08 2.060200e-08 2.060200e-08 2.060200e-08
7.900000e+01 2.086300e+03 4.529800e-01 0.000000e+00 -1.011000e+01 1.171400e-07 4.865800e-04 -1.460400e-06 3.668395e-10 3.668395e-10 3.668395e-10 3.668395e-10 2.086300e-08 2.086300e-08 2.086300e-08 2.086300e-08 2.086300e-08
8.000000e+01 2.112700e+03 4.678000e-01 0.000000e+00 -1.065600e+01 1.164500e-07 4.797500e-04 -1.453500e-06 3.693245e-10 3.693245e-10 3.693245e-10 3.693245e-10 2.112700e-08 2.112700e-08 2.112700e-08 2.112700e-08 2.112700e-08
8.100000e+01 2.139200e+03 4.827300e-01 0.000000e+00 -1.121300e+01 1.157600e-07 4.730600e-04 -1.442800e-06 3.717544e-10 3.717544e-10 3.717544e-10 3.717544e-10 2.139200e-08 2.139200e-08 2.139200e-08 2.139200e-08 2.139200e-08
8.200000e+01 2.166100e+03 4.977700e-01 0.000000e+00 -1.177800e+01 1.150800e-07 4.664900e-04 -1.430500e-06 3.741617e-10 3.741617e-10 3.741617e-10 3.741617e-10 2.166100e-08 2.166100e-08 2.166100e-08 2.166100e-08 2.166100e-08
8.300000e+01 2.193100e+03 5.129000e-01 0.000000e+00 -1.235300e+01 1.144000e-07 4.600700e-04 -1.419500e-06 3.765148e-10 3.765148e-10 3.765148e-10 3.765148e-10 2.193100e-08 2.193100e-08 2.193100e-08 2.193100e-08 2.193100e-08
8.400000e+01 2.220500e+03 5.281300e-01 0.000000e+00 -1.293500e+01 1.137100e-07 4.538000e-04 -1.412300e-06 3.787803e-10 3.787803e-10 3.787803e-10 3.787803e-10 2.220500e-08 2.220500e-08 2.220500e-08 2.220500e-08 2.220500e-08
8.500000e+01 2.247900e+03 5.434200e-01 0.000000e+00 -1.352600e+01 1.130300e-07 4.476900e-04 -1.411600e-06 3.810245e-10 3.810245e-10 3.810245e-10 3.810245e-10 2.247900e-08 2.247900e-08 2.247900e-08 2.247900e-08 2.247900e-08
8.600000e+01 2.275600e+03 5.587800e-01 0.000000e+00 -1.412500e+01 1.123600e-07 4.417400e-04 -1.419400e-06 3.832485e-10 3.832485e-10 3.832485e-10 3.832485e-10 2.275600e-08 2.275600e-08 2.275600e-08 2.275600e-08 2.275600e-08
8.700000e+01 2.303800e+03 5.742000e-01 0.000000e+00 -1.473100e+01 1.116800e-07 4.359500e-04 -1.433900e-06 3.853846e-10 3.853846e-10 3.853846e-10 3.853846e-10 2.303800e-08 2.303800e-08 2.303800e-08 2.303800e-08 2.303800e-08
